level	group	n_lines	n_spec_fdr05	n_spec_fdr10	n_spec_fdr25	top15_identity	genes
OncotreePrimaryDisease	Breast Ductal Carcinoma In Situ	1	0	0	11	0	ESR1:145;GRHL2:196;GATA3:623;SPDEF:1130;FOXA1:2035;TFAP2C:2816;XBP1:21059
OncotreePrimaryDisease	Cervical Squamous Cell Carcinoma	1	0	0	4	0	
OncotreePrimaryDisease	Clear Cell Sarcoma	1	0	0	569	0	
OncotreePrimaryDisease	Colorectal Adenocarcinoma	15	0	0	347	3	CDX2:1;HNF4A:10;ASCL2:13;KLF5:119;TCF7L2:1653;CDX1:1825;VDR:2039
OncotreePrimaryDisease	Diffuse Glioma	1	0	0	21	0	
OncotreePrimaryDisease	Embryonal Tumor	5	0	0	235	0	
OncotreePrimaryDisease	Endometrial Carcinoma	1	0	0	7	0	
OncotreePrimaryDisease	Esophageal Squamous Cell Carcinoma	4	0	0	31	0	
OncotreePrimaryDisease	Esophagogastric Adenocarcinoma	11	0	0	291	0	
OncotreePrimaryDisease	Ewing Sarcoma	7	0	0	745	0	
OncotreePrimaryDisease	Fibrosarcoma	1	0	0	2	0	
OncotreePrimaryDisease	Head and Neck Squamous Cell Carcinoma	7	1	1	177	0	
OncotreePrimaryDisease	Hepatoblastoma	1	0	0	30	0	
OncotreePrimaryDisease	Hepatocellular Carcinoma	6	0	0	181	0	
OncotreePrimaryDisease	Intraductal Papillary Neoplasm of the Bile Duct	1	0	0	0	0	
OncotreePrimaryDisease	Invasive Breast Carcinoma	31	0	0	500	0	GRHL2:53;ESR1:70;FOXA1:147;TFAP2C:153;SPDEF:249;GATA3:616;XBP1:2236
OncotreePrimaryDisease	Leiomyosarcoma	1	0	0	27	0	
OncotreePrimaryDisease	Liposarcoma	1	0	0	24	0	
OncotreePrimaryDisease	Lung Neuroendocrine Tumor	17	0	0	944	0	
OncotreePrimaryDisease	Mature B-Cell Neoplasms	21	0	2	1610	0	
OncotreePrimaryDisease	Mature T and NK Neoplasms	6	0	0	470	0	
OncotreePrimaryDisease	Melanoma	7	0	0	875	0	
OncotreePrimaryDisease	Myeloproliferative Neoplasms	3	0	0	84	0	TAL1:42;GATA2:176;MYB:425;KLF1:810;GATA1:2739
OncotreePrimaryDisease	Neuroblastoma	12	7	8	986	0	
OncotreePrimaryDisease	Non-Hodgkin Lymphoma	2	0	0	263	0	
OncotreePrimaryDisease	Non-Seminomatous Germ Cell Tumor	2	0	0	249	0	
OncotreePrimaryDisease	Non-Small Cell Lung Cancer	29	0	0	241	0	
OncotreePrimaryDisease	Ocular Melanoma	1	0	0	164	0	
OncotreePrimaryDisease	Osteosarcoma	5	0	0	83	0	
OncotreePrimaryDisease	Ovarian Epithelial Tumor	9	0	0	94	4	MECOM:1;SOX17:4;PAX8:39;GATA6:1368;WT1:9907
OncotreePrimaryDisease	Pancreatic Adenocarcinoma	12	0	0	83	0	
OncotreePrimaryDisease	Pleural Mesothelioma	2	0	0	49	0	
OncotreePrimaryDisease	Prostate Adenocarcinoma	3	0	0	44	0	
OncotreePrimaryDisease	Renal Cell Carcinoma	4	0	0	194	0	
OncotreePrimaryDisease	Retinoblastoma	1	0	0	106	0	
OncotreePrimaryDisease	Rhabdoid Cancer	2	0	0	60	0	
OncotreePrimaryDisease	Rhabdomyosarcoma	4	0	0	574	0	
OncotreePrimaryDisease	SMARCA4-deficient undifferentiated tumor	1	0	0	11	0	
OncotreePrimaryDisease	T-Lymphoblastic Leukemia/Lymphoma	7	0	0	591	0	MYB:170;RUNX1:273;LEF1:299;TCF7:332;TAL1:1858;LMO2:5854;TLX3:17287;TLX1:18788
OncotreePrimaryDisease	Uterine Sarcoma/Mesenchymal	1	0	0	23	0	
OncotreeSubtype	AML, NOS	2	0	0	0	0	
OncotreeSubtype	Acute Myeloid Leukemia	14	0	0	0	2	CEBPA:6;IRF8:10;SPI1:34;RUNX1:86;MEF2C:443;MYB:531
OncotreeSubtype	Adenosquamous Carcinoma of the Stomach	1	0	0	0	0	
OncotreeSubtype	Alveolar Rhabdomyosarcoma	2	0	0	0	0	
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	2	0	0	0	0	
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	4	0	0	0	0	
OncotreeSubtype	Astrocytoma, IDH-Mutant	2	0	0	0	0	
OncotreeSubtype	Atypical Teratoid/Rhabdoid Tumor	2	0	0	0	0	
OncotreeSubtype	B-Cell Acute Lymphoblastic Leukemia	8	0	0	0	0	
OncotreeSubtype	Bladder Urothelial Carcinoma	6	0	0	0	0	
OncotreeSubtype	Breast Ductal Carcinoma In Situ	1	0	0	0	0	ESR1:197;GRHL2:250;GATA3:539;SPDEF:1123;FOXA1:2163;TFAP2C:3094;XBP1:20887
OncotreeSubtype	Breast Invasive Carcinoma, NOS	3	0	0	0	0	GRHL2:662;SPDEF:2003;TFAP2C:3000;GATA3:8992;ESR1:19095;XBP1:23721;FOXA1:25997
OncotreeSubtype	Breast Invasive Ductal Carcinoma	14	0	0	0	0	GRHL2:37;TFAP2C:75;ESR1:119;GATA3:360;SPDEF:406;FOXA1:432;XBP1:4088
OncotreeSubtype	Breast Invasive Lobular Carcinoma	4	0	0	0	0	ESR1:40;FOXA1:43;TFAP2C:134;SPDEF:150;GRHL2:270;GATA3:1107;XBP1:1485
OncotreeSubtype	Burkitt Lymphoma	1	0	0	0	0	
OncotreeSubtype	Cervical Squamous Cell Carcinoma	1	0	0	0	0	
OncotreeSubtype	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	1	0	0	0	0	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	3	0	0	0	0	TAL1:39;GATA2:141;MYB:356;KLF1:822;GATA1:3046
OncotreeSubtype	Clear Cell Ovarian Cancer	1	0	0	0	0	
OncotreeSubtype	Clear Cell Sarcoma	1	0	0	0	0	
OncotreeSubtype	Colon Adenocarcinoma	14	0	0	0	3	CDX2:2;HNF4A:5;ASCL2:14;KLF5:140;TCF7L2:1478;VDR:2275;CDX1:2793
OncotreeSubtype	Cutaneous Melanoma	1	0	0	0	0	
OncotreeSubtype	Dedifferentiated Liposarcoma	1	0	0	0	0	
OncotreeSubtype	Diffuse Large B-Cell Lymphoma, NOS	6	0	0	0	0	
OncotreeSubtype	Diffuse Type Stomach Adenocarcinoma	2	0	0	0	0	
OncotreeSubtype	Embryonal Carcinoma	2	0	0	0	0	
OncotreeSubtype	Embryonal Rhabdomyosarcoma	2	0	0	0	0	
OncotreeSubtype	Endometrial Carcinoma	1	0	0	0	0	
OncotreeSubtype	Endometrioid Ovarian Cancer	2	0	0	0	0	
OncotreeSubtype	Esophageal Squamous Cell Carcinoma	4	0	0	0	0	
OncotreeSubtype	Ewing Sarcoma	7	0	0	0	0	
OncotreeSubtype	Fibrosarcoma	1	0	0	0	0	
OncotreeSubtype	Glioblastoma, IDH-Wildtype	3	0	0	0	0	
OncotreeSubtype	Gliosarcoma	1	0	0	0	0	
OncotreeSubtype	Hepatoblastoma	1	0	0	0	0	
OncotreeSubtype	Hepatocellular Carcinoma	6	0	0	0	0	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	4	0	0	0	0	SOX17:42;PAX8:137;MECOM:855;GATA6:899;WT1:3768
OncotreeSubtype	Hypopharynx Squamous Cell Carcinoma	1	1	2	7	0	
OncotreeSubtype	Intrahepatic Cholangiocarcinoma	1	0	0	0	0	
OncotreeSubtype	Invasive Breast Carcinoma	10	0	0	0	0	ESR1:98;GRHL2:107;TFAP2C:137;FOXA1:163;SPDEF:206;GATA3:400;XBP1:1722
OncotreeSubtype	Large Cell Lung Carcinoma	2	0	0	0	0	
OncotreeSubtype	Leiomyosarcoma	1	0	0	0	0	
OncotreeSubtype	Lung Adenocarcinoma	20	0	0	0	0	
OncotreeSubtype	Lung Squamous Cell Carcinoma	5	0	0	0	0	
OncotreeSubtype	Mantle Cell Lymphoma	3	0	0	0	0	
OncotreeSubtype	Medulloblastoma, Group 3	2	0	0	0	0	
OncotreeSubtype	Medulloblastoma, NOS	1	0	0	1	0	
OncotreeSubtype	Melanoma	6	0	0	0	0	
OncotreeSubtype	Neuroblastoma	12	8	8	11	0	
OncotreeSubtype	Non-Hodgkin Lymphoma	2	0	0	0	0	
OncotreeSubtype	Non-Small Cell Lung Cancer	2	0	0	0	0	
OncotreeSubtype	Oral Cavity Squamous Cell Carcinoma	5	0	0	0	0	
OncotreeSubtype	Oropharynx Squamous Cell Carcinoma	1	0	0	0	0	
OncotreeSubtype	Osteosarcoma	5	0	0	0	0	
OncotreeSubtype	Pancreatic Adenocarcinoma	12	0	0	0	0	
OncotreeSubtype	Papillary Renal Cell Carcinoma	1	0	0	0	0	
OncotreeSubtype	Plasma Cell Myeloma	8	0	0	0	0	
OncotreeSubtype	Pleural Mesothelioma, Biphasic Type	1	0	0	0	0	
OncotreeSubtype	Pleural Mesothelioma, Epithelioid Type	1	0	0	0	0	
OncotreeSubtype	Primary Effusion Lymphoma	2	0	0	0	0	
OncotreeSubtype	Prostate Adenocarcinoma	3	0	0	0	0	
OncotreeSubtype	Rectal Adenocarcinoma	1	0	0	0	0	
OncotreeSubtype	Renal Clear Cell Carcinoma	3	0	0	0	0	
OncotreeSubtype	Retinoblastoma	1	0	0	0	0	
OncotreeSubtype	Rhabdoid Cancer	2	0	0	0	0	
OncotreeSubtype	SMARCA4-deficient undifferentiated tumor	1	0	0	0	0	
OncotreeSubtype	Serous Ovarian Cancer	1	0	0	0	4	MECOM:2;SOX17:15;PAX8:218;GATA6:1858;WT1:29022
OncotreeSubtype	Signet Ring Cell Carcinoma of the Stomach	1	0	0	0	0	
OncotreeSubtype	Small Cell Carcinoma of the Ovary	1	0	0	0	0	SOX17:32;WT1:733;MECOM:9829;GATA6:11448;PAX8:19466
OncotreeSubtype	Small Cell Lung Cancer	17	0	0	0	0	
OncotreeSubtype	Stomach Adenocarcinoma	3	0	0	0	0	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	7	0	0	0	0	MYB:154;LEF1:244;TCF7:301;RUNX1:335;TAL1:1917;LMO2:5670;TLX3:15943;TLX1:17184
OncotreeSubtype	Tubular Stomach Adenocarcinoma	4	0	0	0	0	
OncotreeSubtype	Uterine Leiomyosarcoma	1	0	0	0	0	
OncotreeSubtype	Uveal Melanoma	1	0	0	0	0	
line	NIHOVCAR3	1	4467	5219	6840	0	PAX8:126;SOX17:175;WT1:753;MECOM:903;GATA6:17725
line	HEL	1	4903	5675	7451	0	
line	HCC827	1	8032	8683	9978	0	
line	SKBR3	1	5867	6572	8055	0	TFAP2C:106;SPDEF:405;FOXA1:708;ESR1:1915;GRHL2:2122;XBP1:3533;GATA3:4807
line	T24	1	3900	4745	6616	0	
line	MCF7	1	3403	4097	5669	1	ESR1:5;GATA3:91;GRHL2:184;FOXA1:215;TFAP2C:239;SPDEF:403;XBP1:1222
line	NCIH1693	1	4594	5408	7152	0	
line	PATU8988S	1	5716	6632	8404	0	
line	OPM2	1	4907	5834	7631	0	
line	PC14	1	3347	3940	5368	0	
line	NCIH1650	1	4572	5258	6665	0	
line	SKNMC	1	5024	5638	7016	0	
line	MDAMB134VI	1	5317	6305	8401	0	ESR1:27;FOXA1:34;GRHL2:235;TFAP2C:251;SPDEF:349;GATA3:665;XBP1:1293
line	MV411	1	3986	4692	6407	2	IRF8:6;CEBPA:8;SPI1:104;RUNX1:386;MEF2C:532;MYB:789
line	ACHN	1	3929	4688	6327	0	
line	NCIH929	1	4581	5392	7179	0	
line	A673	1	4466	5025	6384	0	
line	KARPAS299	1	4660	5396	6952	0	
line	HT1080	1	4855	5627	7263	0	
line	SUPB15	1	4822	5392	6740	0	
line	RERFLCMS	1	3007	3682	5212	0	
line	REC1	1	4059	4563	5767	0	
line	697	1	5951	6671	8138	0	
line	KU812	1	2796	3384	4891	0	TAL1:44;MYB:192;GATA2:736;KLF1:749;GATA1:5059
line	U87MG	1	6425	7061	8333	0	
line	T3M4	1	2048	2649	4183	0	
line	PC3	1	5963	6725	8245	0	
line	D341MED	1	3458	4035	5397	0	
line	G401	1	3809	4621	6455	0	
line	ZR751	1	4441	5178	6762	0	ESR1:66;SPDEF:83;GRHL2:218;FOXA1:241;TFAP2C:671;XBP1:913;GATA3:972
line	LOUCY	1	4971	5547	6763	0	RUNX1:307;MYB:1156;LEF1:1281;LMO2:2304;TLX1:3715;TAL1:8443;TCF7:31044;TLX3:38049
line	OCIAML2	1	3771	4683	6840	1	IRF8:13;CEBPA:23;SPI1:159;MEF2C:235;RUNX1:546;MYB:623
line	CHP212	1	4758	5413	6790	0	
line	PANC0327	1	3237	4078	6155	0	
line	SKLMS1	1	6385	7110	8633	0	
line	THP1	1	4270	4951	6506	0	CEBPA:17;IRF8:48;SPI1:70;RUNX1:546;MYB:1847;MEF2C:2537
line	T47D	1	4765	5645	7465	0	ESR1:85;GATA3:136;SPDEF:163;GRHL2:168;TFAP2C:281;FOXA1:428;XBP1:810
line	HS578T	1	6222	7004	8566	0	SPDEF:1276;GATA3:5031;GRHL2:6066;ESR1:17124;TFAP2C:19803;XBP1:22506;FOXA1:25596
line	OSRC2	1	7118	7855	9390	0	
line	BT12	1	2291	2759	4056	0	
line	PANC1	1	3842	4533	6013	0	
line	RD	1	4475	5108	6520	0	
line	CORL311	1	4009	4732	6250	0	
line	SCC25	1	5059	5926	7770	0	
line	SET2	1	4791	5423	6801	0	
line	HCC1599	1	5236	5946	7451	0	ESR1:411;GRHL2:421;TFAP2C:517;FOXA1:1888;SPDEF:2229;GATA3:7986;XBP1:13782
line	COLO320	1	4076	4914	6668	1	CDX2:12;ASCL2:180;HNF4A:1245;KLF5:2699;VDR:7899;TCF7L2:9975;CDX1:10982
line	LP1	1	5494	6127	7427	0	
line	DETROIT562	1	4853	5742	7507	0	
line	CAL120	1	4628	5492	7328	0	SPDEF:137;GATA3:362;ESR1:9698;FOXA1:12226;GRHL2:14670;XBP1:17951;TFAP2C:28580
line	A375	1	4736	5500	6987	0	
line	SNU398	1	4939	5914	7764	0	
line	ASPC1	1	4549	5302	6860	0	
line	HCC1937	1	5263	6232	8185	0	GRHL2:173;ESR1:210;TFAP2C:527;SPDEF:1867;GATA3:3394;FOXA1:3725;XBP1:21325
line	SUPM2	1	5205	6007	7904	0	
line	U251MG	1	5089	5936	7555	0	
line	PANC0403	1	1139	1692	3158	0	
line	OCUM1	1	4630	5217	6576	0	
line	AU565	1	6002	6754	8244	0	TFAP2C:60;ESR1:552;SPDEF:635;FOXA1:840;GRHL2:1741;XBP1:4024;GATA3:19239
line	NCIH2887	1	4104	4779	6235	0	
line	DU4475	1	4947	5778	7576	0	TFAP2C:1151;FOXA1:1732;XBP1:1799;GRHL2:13683;ESR1:15302;GATA3:16187;SPDEF:22927
line	KELLY	1	4232	4946	6537	0	
line	SKNAS	1	4020	4750	6469	0	
line	KASUMI1	1	2935	3478	4751	0	SPI1:73;RUNX1:102;MEF2C:436;MYB:889;IRF8:1057;CEBPA:1278
line	KP4	1	1630	2279	3809	0	
line	SF539	1	5755	6602	8247	0	
line	HCC38	1	4600	5530	7280	0	GRHL2:261;TFAP2C:423;GATA3:874;FOXA1:13507;ESR1:16304;SPDEF:19820;XBP1:24715
line	KP2	1	1192	1683	3091	0	
line	BT549	1	3724	4359	5833	0	GRHL2:224;SPDEF:4113;TFAP2C:5632;FOXA1:12607;ESR1:17478;GATA3:17526;XBP1:20719
line	NCIH889	1	2367	3078	4903	0	
line	HNT34	1	5917	6852	8667	0	CEBPA:74;SPI1:207;IRF8:5214;RUNX1:9891;MEF2C:13330;MYB:13981
line	IMR32	1	4906	5554	7024	0	
line	SKNBE2	1	4288	4939	6488	0	
line	KARPAS422	1	3742	4335	5703	0	
line	DB	1	6085	6882	8483	0	
line	MSTO211H	1	4991	5810	7623	0	
line	OCIAML3	1	3280	3934	5602	2	CEBPA:5;IRF8:9;SPI1:23;RUNX1:656;MYB:1071;MEF2C:2710
line	NCIH3122	1	6247	6962	8481	0	
line	SR786	1	4986	5874	7906	0	
line	SKNFI	1	5322	6068	7672	0	
line	MKN1	1	5264	6071	7635	0	
line	CAPAN1	1	5542	6255	7703	0	
line	NCIH82	1	4104	4882	6621	0	
line	NCIH69	1	3537	4128	5523	0	
line	MG63	1	4306	5107	6747	0	
line	SKHEP1	1	3880	4593	6232	0	
line	MOLM13	1	3826	4396	5803	1	IRF8:13;CEBPA:57;RUNX1:254;SPI1:292;MEF2C:379;MYB:624
line	U2OS	1	5629	6394	8061	0	
line	SUDHL4	1	4946	5550	6959	0	
line	SKNDZ	1	4102	4835	6520	0	
line	NCIH226	1	5124	5876	7428	0	
line	RL	1	5436	6071	7615	0	
line	P12ICHIKAWA	1	4613	5216	6547	0	MYB:47;TCF7:172;RUNX1:184;LEF1:598;LMO2:2845;TAL1:7124;TLX3:19391;TLX1:27831
line	HCC1143	1	4586	5451	7199	0	ESR1:59;GRHL2:292;TFAP2C:987;GATA3:2199;FOXA1:4448;SPDEF:13148;XBP1:18517
line	SF295	1	6233	6971	8470	0	
line	MHHES1	1	4110	4970	6802	0	
line	MEC1	1	5756	6302	7463	0	
line	U937	1	2707	3385	4836	0	IRF8:32;CEBPA:50;RUNX1:146;SPI1:302;MYB:1729;MEF2C:10344
line	TE5	1	5305	6276	8206	0	
line	SW837	1	4016	4661	6141	0	
line	SNU475	1	2134	2795	4445	0	
line	TC71	1	3886	4611	6123	0	
line	NCIN87	1	5628	6331	7770	0	
line	CAKI1	1	5226	6046	7710	0	
line	ME1	1	2662	3244	4674	0	SPI1:37;RUNX1:117;MYB:511;MEF2C:647;CEBPA:1885;IRF8:9818
line	NCIH2228	1	3499	4182	5763	0	
line	HCC95	1	3986	4662	6257	0	
line	NCIH460	1	3937	4576	6100	0	
line	RT112	1	5783	6522	8071	0	
line	HUH7	1	5434	6307	8233	0	
line	MUTZ5	1	4976	5664	6993	0	
line	NCIH146	1	4142	4769	6228	0	
line	NCIH1299	1	1764	2336	3757	0	
line	NCIH2030	1	5132	6076	8151	0	
line	KURAMOCHI	1	6012	6806	8387	0	SOX17:21;MECOM:464;PAX8:604;WT1:918;GATA6:5169
line	NCIH2171	1	3477	4038	5307	0	
line	ABC1	1	3712	4356	5775	0	
line	DMS114	1	2686	3385	5158	0	
line	BXPC3	1	5080	5944	7782	0	
line	K562	1	2823	3411	4812	0	TAL1:151;GATA2:177;KLF1:1369;MYB:1585;GATA1:1977
line	HT29	1	5110	5883	7673	0	HNF4A:71;KLF5:202;CDX2:229;TCF7L2:1561;ASCL2:2121;CDX1:3651;VDR:3904
line	UACC812	1	5562	6268	7758	0	FOXA1:19;TFAP2C:31;ESR1:91;SPDEF:449;GRHL2:514;XBP1:1493;GATA3:2183
line	MDAMB436	1	3733	4590	6449	0	TFAP2C:889;ESR1:11827;GRHL2:19371;SPDEF:20612;FOXA1:23702;GATA3:26380;XBP1:27874
line	KMS27	1	2976	3700	5314	0	
line	UACC257	1	5154	5783	7096	0	
line	SNU16	1	4595	5453	7190	0	
line	COLO741	1	6220	6906	8279	0	
line	NCIH1975	1	4439	5203	6753	0	
line	NCIH1437	1	2956	3747	5531	0	
line	MIAPACA2	1	4945	5951	7833	0	
line	M07E	1	3749	4325	5626	0	RUNX1:264;SPI1:442;MYB:1055;MEF2C:1856;IRF8:4941;CEBPA:9294
line	HS746T	1	3936	4756	6620	0	
line	OVCAR4	1	3464	4165	5832	0	SOX17:363;MECOM:454;GATA6:1570;PAX8:2311;WT1:7467
line	MDAMB157	1	4924	5688	7349	0	GRHL2:44;TFAP2C:75;ESR1:389;SPDEF:6689;FOXA1:9731;XBP1:18851;GATA3:28662
line	KNS42	1	5511	6157	7682	0	
line	HCC1806	1	4599	5380	7010	0	ESR1:251;GRHL2:510;SPDEF:1008;GATA3:1132;FOXA1:3156;TFAP2C:4839;XBP1:25765
line	FU97	1	4541	5243	6742	0	
line	NCIH211	1	4369	5187	6863	0	
line	HDQP1	1	4773	5697	7514	0	ESR1:70;TFAP2C:614;GATA3:631;GRHL2:658;FOXA1:9559;SPDEF:12080;XBP1:20867
line	786O	1	6569	7255	8652	0	
line	SW620	1	3921	4495	5819	0	ASCL2:146;KLF5:198;HNF4A:259;TCF7L2:1920;CDX1:6021;VDR:7390;CDX2:9221
line	SUIT2	1	4473	5240	6836	0	
line	JJN3	1	4829	5657	7494	0	
line	RAJI	1	3437	4013	5388	0	
line	SF268	1	6864	7568	8929	0	
line	A2780	1	3000	3699	5291	0	
line	SUDHL1	1	4644	5439	7280	0	
line	HCC44	1	5159	5902	7423	0	
line	HCC70	1	2944	3661	5350	0	GATA3:361;GRHL2:501;FOXA1:556;TFAP2C:758;XBP1:5269;ESR1:9381;SPDEF:11397
line	MKN7	1	6206	6778	7940	0	
line	SW948	1	4010	4784	6295	3	CDX2:3;HNF4A:12;ASCL2:76;KLF5:198;VDR:894;TCF7L2:6532;CDX1:10227
line	A549	1	5552	6302	7875	0	
line	KYSE180	1	3255	3954	5577	0	
line	DMS53	1	4030	4800	6531	0	
line	HCC1395	1	3983	4948	7028	0	TFAP2C:347;GRHL2:950;SPDEF:12692;GATA3:14396;XBP1:14747;ESR1:23992;FOXA1:25006
line	DMS79	1	3701	4364	5878	0	
line	EKVX	1	4414	5104	6601	0	
line	KMS11	1	5241	5842	7174	0	
line	RMGI	1	4696	5511	7287	0	
line	HT1376	1	4865	5538	6955	0	
line	NCIH1963	1	4898	5549	6887	0	
line	SKMEL5	1	5150	5733	6956	0	
line	HEPG2	1	3020	3566	4887	0	
line	A253	1	4764	5600	7357	0	
line	NCIH1703	1	1861	2323	3571	0	
line	SJSA1	1	6811	7478	8907	0	
line	DMS273	1	4760	5684	7578	0	
line	LOXIMVI	1	5248	5832	7036	0	
line	JMSU1	1	4051	4626	5972	0	
line	MM1S	1	4225	4837	6326	0	
line	NCIH1648	1	4540	5268	6860	0	
line	NCIH526	1	4536	5229	6790	0	
line	MDAMB231	1	4857	5644	7254	0	SPDEF:344;GATA3:413;TFAP2C:10371;GRHL2:12277;ESR1:22698;FOXA1:25121;XBP1:34963
line	SEM	1	4267	4901	6351	0	
line	CAMA1	1	5558	6550	8516	0	SPDEF:81;FOXA1:100;ESR1:188;GRHL2:349;TFAP2C:435;XBP1:1746;GATA3:1753
line	KYSE70	1	5168	6256	8334	0	
line	NCIH2126	1	2817	3571	5402	0	
line	A2058	1	7165	7889	9401	0	
line	SHP77	1	5581	6254	7867	0	
line	RERFLCAD1	1	3433	4138	5648	0	
line	KATOIII	1	4427	5054	6395	0	
line	NCIH446	1	3644	4203	5564	0	
line	SKOV3	1	2820	3601	5745	4	MECOM:1;SOX17:15;PAX8:168;GATA6:2572;WT1:28216
line	NCIH524	1	4128	4889	6540	0	
line	RPMI8226	1	3493	4125	5517	0	
line	CAL27	1	3988	4861	6884	0	
line	RH30	1	4979	5715	7479	0	
line	UMUC1	1	6443	7212	8698	0	
line	NCIH322	1	5313	6178	8162	0	
line	NCIH2087	1	5010	5827	7523	0	
line	SW480	1	4391	5218	7107	0	ASCL2:182;KLF5:248;CDX2:338;HNF4A:370;VDR:918;TCF7L2:3797;CDX1:8349
line	HARA	1	2575	3147	4531	0	
line	FADU	1	4480	5226	6734	0	
line	HGC27	1	3995	4692	6206	0	
line	JHH7	1	5849	6504	8033	0	
line	MDAMB468	1	5697	6412	7915	0	ESR1:451;TFAP2C:457;GRHL2:562;SPDEF:3236;FOXA1:5525;XBP1:7993;GATA3:10127
line	KYSE150	1	4301	5280	7470	0	
line	CAL51	1	4414	5336	7256	0	GRHL2:1940;SPDEF:9718;XBP1:11139;FOXA1:11597;ESR1:15760;TFAP2C:27324;GATA3:34699
line	CAL851	1	4896	5848	7756	0	ESR1:248;GRHL2:255;GATA3:316;SPDEF:702;FOXA1:2889;TFAP2C:6375;XBP1:26276
line	KNS62	1	2421	3050	4543	0	
line	HCC1954	1	6863	7628	9130	0	GRHL2:167;ESR1:279;TFAP2C:317;FOXA1:1000;GATA3:2110;SPDEF:5945;XBP1:9094
line	HOP62	1	5533	6299	7879	0	
line	NCIH1048	1	4172	5078	7095	0	
line	NCIH510	1	3980	4643	6095	0	
line	RS411	1	6388	6887	7983	0	
line	SNU719	1	4218	4797	6219	0	
line	NCIH23	1	2940	3614	5091	0	
line	5637	1	5711	6533	8200	0	
line	MDAMB453	1	5120	6059	8008	0	FOXA1:32;GATA3:199;SPDEF:253;GRHL2:350;XBP1:852;TFAP2C:3095;ESR1:8024
line	HT	1	5150	5928	7645	0	
line	BT474	1	5307	5983	7428	0	FOXA1:57;SPDEF:94;TFAP2C:102;GRHL2:290;ESR1:332;XBP1:1521;GATA3:10502
line	HCC1569	1	4871	5621	7244	0	TFAP2C:91;GRHL2:99;SPDEF:7491;XBP1:10762;ESR1:12862;FOXA1:13513;GATA3:21403
line	MDAMB361	1	5513	6393	8157	0	ESR1:19;TFAP2C:36;GRHL2:78;FOXA1:79;SPDEF:151;XBP1:629;GATA3:2589
